timestamp,open,high,low,close,tick_volume,updated_at,ema_distance,atr,body_size,wick_upper,wick_lower
2026-06-24 11:30:00,4080.57,4087.65,4075.54,4076.27,10503.0,2026-07-02T19:46:21.347385,-6.226138534990696,14.076428571428648,4.300000000000182,7.079999999999927,0.7300000000000182
2026-04-01 21:15:00,1.15884,1.15901,1.1583,1.15844,1195.0,2026-07-02T23:23:39.123246,-0.0004367659140114277,0.0009378571428571332,0.000400000000000178,0.00017000000000000348,0.00013999999999980695
2026-07-02 23:00:00,1.14308,1.14328,1.14293,1.14322,2033.0,2026-07-03T11:51:33.210826,-0.00011084725291232722,0.0004507142857142567,0.00013999999999980695,6.000000000017103e-05,0.0001500000000000945
2026-07-03 11:30:00,1.14539,1.14578,1.14518,1.14548,2434.0,2026-07-03T11:53:01.192874,0.00033513915183203125,0.0006428571428571355,9.000000000014552e-05,0.00029999999999996696,0.00020999999999982144
2026-07-03 11:30:00,1.14539,1.14578,1.14518,1.14548,2434.0,2026-07-03T11:53:58.624184,0.00033513915183203125,0.0006428571428571355,9.000000000014552e-05,0.00029999999999996696,0.00020999999999982144
2026-07-03 11:30:00,1.14539,1.14578,1.14518,1.14548,2434.0,2026-07-03T11:55:49.722436,0.00033513915183203125,0.0006428571428571355,9.000000000014552e-05,0.00029999999999996696,0.00020999999999982144
2026-07-03 11:30:00,1.14539,1.14578,1.14518,1.14548,2434.0,2026-07-03T11:56:01.500424,0.00033513915183203125,0.0006428571428571355,9.000000000014552e-05,0.00029999999999996696,0.00020999999999982144
2026-07-03 11:30:00,1.14539,1.14578,1.14518,1.14548,2434.0,2026-07-03T11:56:12.030556,0.00033513915183203125,0.0006428571428571355,9.000000000014552e-05,0.00029999999999996696,0.00020999999999982144
2026-07-03 11:30:00,1.14539,1.14578,1.14518,1.14548,2434.0,2026-07-03T11:56:22.463778,0.00033513915183203125,0.0006428571428571355,9.000000000014552e-05,0.00029999999999996696,0.00020999999999982144
2026-07-03 11:30:00,1.14539,1.14578,1.14518,1.14548,2434.0,2026-07-03T11:56:32.799411,0.00033513915183203125,0.0006428571428571355,9.000000000014552e-05,0.00029999999999996696,0.00020999999999982144
2026-07-03 11:30:00,1.14539,1.14578,1.14518,1.14548,2434.0,2026-07-03T11:56:43.021736,0.00033513915183203125,0.0006428571428571355,9.000000000014552e-05,0.00029999999999996696,0.00020999999999982144
2026-07-03 11:30:00,1.14539,1.14578,1.14518,1.14548,2434.0,2026-07-03T11:56:53.293894,0.00033513915183203125,0.0006428571428571355,9.000000000014552e-05,0.00029999999999996696,0.00020999999999982144
2026-07-03 11:30:00,1.14539,1.14578,1.14518,1.14548,2434.0,2026-07-03T11:57:03.565140,0.00033513915183203125,0.0006428571428571355,9.000000000014552e-05,0.00029999999999996696,0.00020999999999982144
2026-07-03 11:30:00,1.14539,1.14578,1.14518,1.14548,2434.0,2026-07-03T11:57:13.787899,0.00033513915183203125,0.0006428571428571355,9.000000000014552e-05,0.00029999999999996696,0.00020999999999982144
2026-07-03 11:30:00,1.14539,1.14578,1.14518,1.14548,2434.0,2026-07-03T11:57:24.029166,0.00033513915183203125,0.0006428571428571355,9.000000000014552e-05,0.00029999999999996696,0.00020999999999982144
2026-07-03 11:30:00,1.14539,1.14578,1.14518,1.14548,2434.0,2026-07-03T11:57:34.268075,0.00033513915183203125,0.0006428571428571355,9.000000000014552e-05,0.00029999999999996696,0.00020999999999982144
2026-07-03 11:30:00,1.14539,1.14578,1.14518,1.14548,2434.0,2026-07-03T11:57:44.488422,0.00033513915183203125,0.0006428571428571355,9.000000000014552e-05,0.00029999999999996696,0.00020999999999982144
2026-07-03 11:30:00,1.14539,1.14578,1.14518,1.14548,2434.0,2026-07-03T11:57:54.698796,0.00033513915183203125,0.0006428571428571355,9.000000000014552e-05,0.00029999999999996696,0.00020999999999982144
